chr1	134199221	-
chr1	8362660	-
chr1	25067475	-
chr1	58733226	+
chr1	33453810	-
chr1	58758881	+
chr1	125873860	+
chr1	75485824	-
chr1	184527840	-
chr1	192897306	-
chr1	175962305	-
chr1	167848732	+
chr1	11975901	+
chr1	10324726	-
chr1	11601820	+
chr1	13625899	-
chr1	20990840	+
chr1	32657737	+
chr1	39842427	-
chr1	36699201	-
chr1	38794508	-
chr1	46373549	+
chr1	43035448	+
chr1	53397001	-
chr1	54472999	-
chr1	55754284	+
chr1	59878080	+
chr1	62642283	+
chr1	73391384	-
chr1	71243089	-
chr1	74435509	-
chr1	70725131	+
chr1	68039965	-
chr1	72394952	+
chr1	73430778	+
chr1	80501072	-
chr1	87050096	+
chr1	89153792	+
chr1	88220001	+
chr1	84906704	-
chr1	93309436	-
chr1	106957077	+
chr1	104995480	+
chr1	106957079	+
chr1	110139000	+
chr1	116580673	+
chr1	123332137	-
chr1	118609461	+
chr1	132113546	-
chr1	130219277	+
chr1	131053703	-
chr1	127943875	+
chr1	135262698	-
chr1	139494087	+
chr1	140610260	+
chr1	136268122	-
chr1	146902471	+
chr1	149829621	-
chr1	143607498	-
chr1	151884523	-
chr1	155203516	+
chr1	153119260	+
chr1	157135182	-
chr1	158245268	-
chr1	160256571	-
chr1	165648944	-
chr1	170917593	-
chr1	175059075	-
chr1	181460640	+
chr1	178955038	-
chr1	180423658	+
chr1	182462435	+
chr1	177022114	-
chr1	189876692	+
chr1	186623185	-
chr1	188214883	+
chr1	185988794	+
chr1	188965038	+
chr1	190772878	-
chr1	195037907	+
chr1	3214481	-
chr1	5162548	+
chr1	4909575	-
chr1	4290845	-
chr1	6860939	+
chr1	9577967	+
chr1	9902567	+
chr1	10136767	+
chr1	10137506	-
chr1	9668834	-
chr1	9560832	-
chr1	10708386	-
chr1	11303681	+
chr1	12860371	+
chr1	12866549	-
chr1	13139158	-
chr1	14168957	-
chr1	15714213	+
chr1	16228809	-
chr1	16132549	+
chr1	16642764	-
chr1	15853861	-
chr1	16994939	-
chr1	18210052	-
chr1	19166331	+
chr1	20057778	-
chr1	21398402	-
chr1	22288421	-
chr1	22468190	-
chr1	23845626	-
chr1	24257682	-
chr1	24252737	+
chr1	31204724	+
chr1	31141077	-
chr1	34308661	+
chr1	34473778	+
chr1	34879584	+
chr1	34871556	+
chr1	36140027	-
chr1	36562695	-
chr1	36423185	-
chr1	37263383	+
chr1	37611675	-
chr1	37439339	-
chr1	36792188	-
chr1	37485850	-
chr1	37410734	+
chr1	37878889	-
chr1	38177326	-
chr1	38055578	+
chr1	39363239	+
chr1	39665300	-
chr1	39371495	-
chr1	40026309	+
chr1	40768884	+
chr1	40125225	+
chr1	40316176	+
chr1	42905682	+
chr1	43750230	-
chr1	43570517	+
chr1	44796835	+
chr1	44181259	+
chr1	45374330	-
chr1	51218385	-
chr1	51187269	+
chr1	51749765	-
chr1	52107183	+
chr1	52163449	-
chr1	52656304	-
chr1	53344643	-
chr1	52659985	-
chr1	53189188	-
chr1	53930814	-
chr1	54368726	+
chr1	53806873	-
chr1	54645339	-
chr1	55300068	-
chr1	55170159	-
chr1	55972097	+
chr1	56793980	-
chr1	57415957	+
chr1	58595947	+
chr1	57948396	+
chr1	58200451	+
chr1	58462275	+
chr1	58106409	+
chr1	58379263	+
chr1	58995120	+
chr1	59100592	-
chr1	59100596	-
chr1	59989067	-
chr1	60481162	+
chr1	60483184	-
chr1	60334704	+
chr1	62818691	+
chr1	62797090	+
chr1	63143591	-
chr1	63698826	-
chr1	63573218	+
chr1	63596514	+
chr1	63314574	+
chr1	64035670	-
chr1	64789120	-
chr1	65278695	+
chr1	66830838	-
chr1	66442582	+
chr1	66699147	+
chr1	66719804	+
chr1	69926249	+
chr1	69531209	-
chr1	70885396	+
chr1	71027534	-
chr1	71579402	+
chr1	72636789	+
chr1	72427111	-
chr1	73910230	-
chr1	74353691	+
chr1	73618380	-
chr1	75367714	+
chr1	74565127	-
chr1	74967345	-
chr1	77367184	-
chr1	78101266	-
chr1	78538172	+
chr1	78420285	+
chr1	79794320	-
chr1	81271650	+
chr1	82445366	+
chr1	82450722	-
chr1	82722058	+
chr1	83255780	-
chr1	84721188	-
chr1	84369838	-
chr1	84036292	-
chr1	85576898	-
chr1	85717082	-
chr1	86139294	+
chr1	86252490	+
chr1	86278283	+
chr1	87450809	+
chr1	87476828	-
chr1	87310790	+
chr1	87720507	+
chr1	87945120	-
chr1	87845156	+
chr1	88218997	+
chr1	88388850	+
chr1	89360343	-
chr1	89895281	+
chr1	90042131	-
